0,1,2,3,4
In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints,In descending order of number of UVM2_DatPoints
"Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date","Observations, SNname, type, Disc_date, Expl_date"
,SN2020wtq, Ia,'2020-10-12 06:21:36.000,
,SN2020tcw,SL-I,'2020-09-12 05:26:52.800,
,SN2020uzq, II,'2020-10-06 11:06:43.200,
,SN2020tug, Ia,'2020-09-19 08:47:06.000,
,SN2020tkp, Ia,'2020-09-14 08:07:09.120,
,SN2020szr, Ia,'2020-09-11 11:03:50.400,
,SN2020tlf, IIn,'2020-09-16 05:18:14.400,
,SN2020scq,,'2020-08-25 13:33:35.000,
,SN2020pni, II,'2020-07-16 04:44:29.996,
,SN2020rte,,'2020-08-20 20:26:07.000,
,SN2020roj,,'2020-08-16 06:14:24.000,
,SN2020rlj, Ia,'2020-08-16 07:13:53.003,
,SN2020rgz, Ia,'2020-08-13 05:17:32.997,
,SN2020qic, Ia,'2020-07-24 11:18:30.000,
,SN2020pst, Ia,'2020-07-17 11:01:55.000,
,SN2020pjj, Ia-pec,'2020-07-13 05:45:34.272,
,SN2020nta, Ia-91bg-like,'2020-06-29 05:08:43.996,
,SN2020nxt,Ibn,'2020-07-03 12:53:16.800,
,SN2020nvb, Ia,'2020-07-01 13:10:34.000,
,SN2020nlb, Ia,'2020-06-25 06:01:26.400,
,SN2020mr,,'2020-01-06 04:29:31.000,
,SN2020mjm, II,'2020-06-12 04:37:29.280,
,SN2020llx, II,'2020-05-31 00:14:24.000,
,SN2020lil, Ia,'2020-05-29 06:35:34.996,
,SN2020kyx, Ia,'2020-05-24 06:27:05.003,
,SN2020kpx, Ia,'2020-05-21 09:28:48.000,
,SN2020kyg, Iax[02cx-like],'2020-05-24 09:15:50.400,
,SN2020jfo, II,'2020-05-06 04:51:41.184,
,SN2020hvp, Ib,'2020-04-21 12:24:28.800,
,SN2020jgl, Ia,'2020-05-07 06:54:43.200,
,SN2020jdo, Ia,'2020-05-01 11:13:10.000,
,SN2020fxa, Ia,'2020-04-04 11:00:17.001,
,SN2020ekk, II,'2020-03-11 18:41:05.000,
,SN2020ees, Ia,'2020-03-05 11:19:40.800,
,SN2020dul, Ia,'2020-03-02 13:06:14.400,
